date,source,impressions,clicks,spend,conversions,campaign,avg_session_duration,pages_per_session,bounce_rate,conversion_rate,feature1,feature2,cluster
2024-01-29,Instagram,3747,1736,892.29,239,Instagram_campaign_4,232.48,7.52,0.62,0.1376728110599078,3747,1736,0
2024-01-30,Instagram,1189,3796,76.24,528,Instagram_campaign_1,276.55,3.24,0.26,0.1390937829293993,1189,3796,0
2024-01-31,Instagram,20118,798,599.92,183,Instagram_campaign_2,187.99,5.16,0.44,0.2293233082706766,20118,798,2
2024-02-01,Instagram,36773,4837,466.55,662,Instagram_campaign_3,226.05,3.58,0.63,0.1368616911308662,36773,4837,1
2024-02-02,Instagram,2899,954,688.42,177,Instagram_campaign_4,234.41,4.18,0.37,0.1855345911949685,2899,954,0
2024-02-03,Instagram,2267,8264,361.75,179,Instagram_campaign_2,132.02,4.84,0.61,0.0216602129719264,2267,8264,0
2024-02-04,Instagram,32551,5955,197.29,402,Instagram_campaign_3,95.09,4.84,0.21,0.0675062972292191,32551,5955,2
2024-02-05,Instagram,12394,7492,982.75,955,Instagram_campaign_1,85.36,2.41,0.38,0.1274693005872931,12394,7492,0
2024-02-06,Instagram,4556,6628,846.99,804,Instagram_campaign_2,97.89,5.79,0.53,0.1213035606517803,4556,6628,0
2024-02-07,Instagram,4890,5349,867.38,643,Instagram_campaign_3,104.18,1.62,0.58,0.1202093849317629,4890,5349,0
2024-02-08,Instagram,42606,5272,287.74,203,Instagram_campaign_4,85.95,1.97,0.55,0.0385053110773899,42606,5272,1
2024-02-09,Instagram,31740,1807,86.89,526,Instagram_campaign_3,267.12,1.02,0.62,0.2910902047592695,31740,1807,2
2024-02-10,Instagram,15502,5891,338.1,38,Instagram_campaign_3,234.39,1.82,0.2,0.0064505177389237,15502,5891,0
2024-02-11,Instagram,22777,5635,560.23,174,Instagram_campaign_4,42.66,4.31,0.26,0.0308784383318544,22777,5635,2
2024-02-12,Instagram,11627,5031,360.32,431,Instagram_campaign_4,102.54,5.24,0.72,0.0856688531107135,11627,5031,0
2024-02-13,Instagram,9792,3610,836.48,348,Instagram_campaign_3,35.99,6.56,0.61,0.096398891966759,9792,3610,0
2024-02-14,Instagram,44323,302,307.97,657,Instagram_campaign_2,164.5,1.75,0.27,1.0,44323,302,1
2024-02-15,Instagram,44021,4318,966.99,505,Instagram_campaign_5,158.58,6.96,0.71,0.1169522927281148,44021,4318,1
2024-02-16,Instagram,9433,9058,484.4,374,Instagram_campaign_3,254.47,6.22,0.35,0.0412894678737028,9433,9058,0
2024-02-17,Instagram,44001,4489,849.92,842,Instagram_campaign_3,113.1,3.86,0.49,0.1875696146134996,44001,4489,1
2024-02-18,Instagram,12016,2427,234.66,351,Instagram_campaign_2,250.42,7.53,0.29,0.1446229913473424,12016,2427,0
2024-02-19,Instagram,24897,8104,440.79,509,Instagram_campaign_4,291.35,7.94,0.63,0.0628084896347482,24897,8104,2
2024-02-20,Instagram,3612,3031,714.54,666,Instagram_campaign_3,53.87,2.44,0.6,0.2197294622236885,3612,3031,0
2024-02-21,Instagram,24483,7877,181.44,520,Instagram_campaign_2,243.79,3.65,0.33,0.0660149803224577,24483,7877,2
2024-02-22,Instagram,49555,297,176.11,336,Instagram_campaign_3,189.29,7.49,0.72,1.0,49555,297,1
2024-02-23,Instagram,18159,7225,971.06,226,Instagram_campaign_5,159.61,6.05,0.44,0.031280276816609,18159,7225,2
2024-02-24,Instagram,45974,2030,728.87,310,Instagram_campaign_4,143.54,1.34,0.38,0.1527093596059113,45974,2030,1
2024-02-25,Instagram,41994,6387,89.01,141,Instagram_campaign_1,241.86,6.47,0.29,0.0220760920620009,41994,6387,1
2024-02-26,Instagram,15541,8900,428.88,813,Instagram_campaign_1,202.63,6.8,0.36,0.0913483146067415,15541,8900,0
2024-02-27,Instagram,36920,9439,461.84,79,Instagram_campaign_5,247.36,6.25,0.21,0.0083695306706218,36920,9439,1
2024-02-28,Instagram,27531,4382,756.84,261,Instagram_campaign_2,273.85,6.6,0.55,0.0595618439068918,27531,4382,2
2024-02-29,Instagram,2585,2611,288.32,424,Instagram_campaign_1,196.66,6.78,0.71,0.1623898889314439,2585,2611,0
2024-03-01,Instagram,4943,759,225.12,796,Instagram_campaign_1,294.72,2.3,0.53,1.0,4943,759,0
2024-03-02,Instagram,24939,2911,126.83,454,Instagram_campaign_3,194.18,2.65,0.33,0.1559601511508072,24939,2911,2
2024-03-03,Instagram,20457,7198,456.9,885,Instagram_campaign_4,201.89,5.44,0.22,0.1229508196721311,20457,7198,2
2024-03-04,Instagram,2021,6646,704.07,191,Instagram_campaign_2,179.8,7.36,0.33,0.0287390911826662,2021,6646,0
2024-03-05,Instagram,12653,9661,105.28,176,Instagram_campaign_1,54.57,3.21,0.45,0.0182175758203084,12653,9661,0
2024-03-06,Instagram,44573,2086,919.45,100,Instagram_campaign_5,226.13,5.12,0.66,0.0479386385426653,44573,2086,1
2024-03-07,Instagram,14417,8438,470.23,723,Instagram_campaign_3,177.81,5.78,0.31,0.0856838113296989,14417,8438,0
2024-03-08,Instagram,41757,3011,277.8,867,Instagram_campaign_4,151.75,4.16,0.63,0.287944204583195,41757,3011,1
2024-03-09,Instagram,10692,1834,139.18,540,Instagram_campaign_2,275.83,6.0,0.72,0.2944383860414394,10692,1834,0
2024-03-10,Instagram,46758,1943,223.72,48,Instagram_campaign_1,110.45,7.3,0.47,0.024704065877509,46758,1943,1
2024-03-11,Instagram,7873,8780,937.88,135,Instagram_campaign_2,171.37,5.37,0.69,0.015375854214123,7873,8780,0
2024-03-12,Instagram,6675,3076,656.36,460,Instagram_campaign_2,218.36,4.78,0.53,0.1495448634590377,6675,3076,0
2024-03-13,Instagram,1161,2059,540.86,182,Instagram_campaign_2,245.05,4.07,0.58,0.0883924235065565,1161,2059,0
2024-03-14,Instagram,38065,5859,674.26,662,Instagram_campaign_4,154.02,5.04,0.52,0.1129885646014678,38065,5859,1
2024-03-15,Instagram,27557,6794,463.89,763,Instagram_campaign_5,257.36,3.49,0.48,0.1123049749779216,27557,6794,2
2024-03-16,Instagram,34763,2485,743.54,229,Instagram_campaign_1,237.61,3.74,0.34,0.0921529175050301,34763,2485,1
2024-03-17,Instagram,33606,4836,95.33,647,Instagram_campaign_4,47.88,4.72,0.38,0.1337882547559967,33606,4836,2
2024-03-18,Instagram,12534,1902,587.74,67,Instagram_campaign_2,42.38,1.47,0.37,0.0352260778128286,12534,1902,0
2024-03-19,Instagram,30127,8255,200.71,669,Instagram_campaign_1,197.62,2.6,0.54,0.0810417928528164,30127,8255,2
2024-03-20,Instagram,41397,8220,164.16,485,Instagram_campaign_3,123.8,4.8,0.27,0.0590024330900243,41397,8220,1
2024-03-21,Instagram,26851,6716,374.79,465,Instagram_campaign_1,86.47,4.02,0.75,0.0692376414532459,26851,6716,2
2024-03-22,Instagram,2016,5634,137.21,838,Instagram_campaign_2,186.51,3.33,0.63,0.1487397941072062,2016,5634,0
2024-03-23,Instagram,25253,4161,139.45,904,Instagram_campaign_2,122.22,6.11,0.44,0.2172554674357125,25253,4161,2
2024-03-24,Instagram,25276,362,345.84,370,Instagram_campaign_3,175.06,5.86,0.3,1.0,25276,362,2
2024-03-25,Instagram,24247,6387,980.54,944,Instagram_campaign_3,154.23,2.17,0.73,0.1478002191952403,24247,6387,2
2024-03-26,Instagram,25300,8915,216.56,10,Instagram_campaign_2,187.89,7.15,0.69,0.0011217049915872,25300,8915,2
2024-03-27,Instagram,9529,9308,66.3,396,Instagram_campaign_4,138.08,4.47,0.63,0.0425440481306403,9529,9308,0
2024-03-28,Instagram,18262,2149,775.2,982,Instagram_campaign_5,218.37,6.19,0.36,0.4569567240577012,18262,2149,2
2024-03-29,Instagram,10268,5523,816.57,357,Instagram_campaign_5,78.62,5.01,0.44,0.0646387832699619,10268,5523,0
2024-03-30,Instagram,22271,4648,378.99,199,Instagram_campaign_5,218.06,7.98,0.26,0.0428141135972461,22271,4648,2
2024-03-31,Instagram,13185,3208,491.44,514,Instagram_campaign_4,141.15,6.27,0.31,0.1602244389027431,13185,3208,0
2024-04-01,Instagram,22243,7258,667.28,200,Instagram_campaign_5,266.07,5.95,0.67,0.0275558004960044,22243,7258,2
2024-04-02,Instagram,40099,7500,95.66,517,Instagram_campaign_5,169.11,6.45,0.63,0.0689333333333333,40099,7500,1
2024-04-03,Instagram,9571,3270,951.69,378,Instagram_campaign_2,292.74,2.0,0.56,0.1155963302752293,9571,3270,0
2024-04-04,Instagram,40976,9974,892.35,418,Instagram_campaign_2,192.52,2.43,0.74,0.0419089633045919,40976,9974,1
2024-04-05,Instagram,39044,2355,297.85,833,Instagram_campaign_3,90.44,6.0,0.55,0.3537154989384288,39044,2355,1
2024-04-06,Instagram,49984,1254,64.54,938,Instagram_campaign_3,251.88,4.46,0.48,0.748006379585327,49984,1254,1
2024-04-07,Instagram,41774,4599,936.76,943,Instagram_campaign_3,123.17,6.28,0.4,0.2050445749075886,41774,4599,1
2024-04-08,Instagram,3568,6395,525.99,126,Instagram_campaign_1,123.86,1.72,0.76,0.0197028928850664,3568,6395,0
2024-04-09,Instagram,3027,6297,562.41,143,Instagram_campaign_4,38.59,4.76,0.25,0.0227092266158488,3027,6297,0
2024-04-10,Instagram,3695,9988,699.77,67,Instagram_campaign_1,178.15,3.65,0.76,0.0067080496595915,3695,9988,0
2024-04-11,Instagram,49190,1748,635.06,565,Instagram_campaign_2,174.29,4.2,0.7,0.3232265446224256,49190,1748,1
2024-04-12,Instagram,6258,5639,946.7,694,Instagram_campaign_3,126.12,5.23,0.28,0.1230714665720872,6258,5639,0
2024-04-13,Instagram,23002,9737,947.04,681,Instagram_campaign_4,271.44,4.52,0.54,0.0699394063880045,23002,9737,2
2024-04-14,Instagram,40504,4299,873.84,182,Instagram_campaign_4,64.76,4.78,0.72,0.0423354268434519,40504,4299,1
2024-04-15,Instagram,34159,8545,654.58,838,Instagram_campaign_3,119.13,4.4,0.54,0.098069046225863,34159,8545,1
2024-04-16,Instagram,14986,2657,810.9,824,Instagram_campaign_4,116.83,3.86,0.74,0.3101242002258186,14986,2657,0
2024-04-17,Instagram,13666,5692,693.31,158,Instagram_campaign_1,54.92,6.4,0.77,0.027758257203092,13666,5692,0
2024-04-18,Instagram,39660,198,594.7,89,Instagram_campaign_5,159.91,1.09,0.45,0.4494949494949495,39660,198,1
2024-04-19,Instagram,4561,2300,172.08,895,Instagram_campaign_1,215.7,5.19,0.43,0.3891304347826086,4561,2300,0
2024-04-20,Instagram,27854,3061,820.64,222,Instagram_campaign_1,168.15,4.96,0.76,0.0725253185233583,27854,3061,2
2024-04-21,Instagram,39952,5073,829.61,212,Instagram_campaign_4,72.38,6.01,0.61,0.0417898679282475,39952,5073,1
2024-04-22,Instagram,23662,4533,644.64,773,Instagram_campaign_2,131.87,5.19,0.27,0.1705272446503419,23662,4533,2
2024-04-23,Instagram,9392,2969,829.41,238,Instagram_campaign_3,30.7,6.79,0.23,0.0801616705961603,9392,2969,0
2024-04-24,Instagram,31535,1056,668.91,685,Instagram_campaign_1,264.44,7.71,0.54,0.6486742424242424,31535,1056,2
2024-04-25,Instagram,14067,8452,246.35,236,Instagram_campaign_4,52.82,3.4,0.76,0.027922385234264,14067,8452,0
2024-04-26,Instagram,49033,5799,310.26,668,Instagram_campaign_4,191.27,2.59,0.71,0.1151922745300914,49033,5799,1
2024-04-27,Instagram,24599,7044,253.86,541,Instagram_campaign_5,296.29,3.97,0.61,0.0768029528676888,24599,7044,2
2024-04-28,Instagram,36222,4593,408.4,450,Instagram_campaign_1,174.88,3.02,0.28,0.0979751796211626,36222,4593,1
2024-04-29,Instagram,12837,9592,87.01,411,Instagram_campaign_4,279.49,5.3,0.35,0.0428482068390325,12837,9592,0
2024-04-30,Instagram,15039,5011,637.34,56,Instagram_campaign_4,93.75,7.38,0.73,0.0111754140890041,15039,5011,0
2024-05-01,Instagram,31818,4087,369.73,242,Instagram_campaign_2,235.19,1.97,0.31,0.0592121360411059,31818,4087,2
2024-05-02,Instagram,20115,9819,672.94,314,Instagram_campaign_5,173.44,1.71,0.37,0.0319788165800998,20115,9819,2
2024-05-03,Instagram,11965,6115,416.13,535,Instagram_campaign_3,224.54,2.79,0.28,0.0874897792313982,11965,6115,0
2024-05-04,Instagram,25538,1318,697.53,152,Instagram_campaign_3,46.83,6.08,0.61,0.1153262518968133,25538,1318,2
2024-05-05,Instagram,43530,4596,373.59,424,Instagram_campaign_4,69.89,5.15,0.77,0.0922541340295909,43530,4596,1
2024-05-06,Instagram,6056,4835,297.66,522,Instagram_campaign_4,65.94,1.72,0.36,0.1079627714581178,6056,4835,0
2024-05-07,Instagram,33482,4655,521.24,382,Instagram_campaign_2,215.53,7.43,0.49,0.0820622986036519,33482,4655,2
2024-05-08,Instagram,48716,9246,708.25,575,Instagram_campaign_2,258.0,6.53,0.58,0.0621890547263681,48716,9246,1
2024-05-09,Instagram,9110,8150,380.92,895,Instagram_campaign_4,232.4,1.16,0.8,0.1098159509202454,9110,8150,0
2024-05-10,Instagram,14773,3546,939.82,268,Instagram_campaign_5,38.23,5.56,0.26,0.0755781161872532,14773,3546,0
2024-05-11,Instagram,28266,1145,87.23,665,Instagram_campaign_4,264.15,6.4,0.5,0.5807860262008734,28266,1145,2
2024-05-12,Instagram,18412,6993,447.05,480,Instagram_campaign_2,125.62,3.62,0.43,0.0686400686400686,18412,6993,2
2024-05-13,Instagram,34270,1793,969.2,962,Instagram_campaign_5,137.23,1.48,0.72,0.5365309537088678,34270,1793,1
2024-05-14,Instagram,7910,3536,570.57,980,Instagram_campaign_1,58.31,1.54,0.49,0.2771493212669683,7910,3536,0
2024-05-15,Instagram,46453,8854,452.3,21,Instagram_campaign_5,229.1,1.73,0.27,0.0023718093517054,46453,8854,1
2024-05-16,Instagram,26446,5995,590.09,339,Instagram_campaign_2,79.22,6.88,0.58,0.0565471226021684,26446,5995,2
2024-05-17,Instagram,1206,3454,597.13,745,Instagram_campaign_5,182.27,7.37,0.66,0.2156919513607411,1206,3454,0
2024-05-18,Instagram,22518,325,745.07,793,Instagram_campaign_4,256.99,1.86,0.2,1.0,22518,325,2
2024-05-19,Instagram,23361,4993,171.31,977,Instagram_campaign_3,54.09,2.65,0.72,0.1956739435209293,23361,4993,2
2024-05-20,Instagram,24419,7122,287.52,367,Instagram_campaign_4,174.54,2.16,0.31,0.0515304689693906,24419,7122,2
2024-05-21,Instagram,49702,9251,601.52,981,Instagram_campaign_4,92.97,2.3,0.53,0.1060425899902713,49702,9251,1
2024-05-22,Instagram,42523,5700,873.76,417,Instagram_campaign_1,122.59,6.86,0.45,0.0731578947368421,42523,5700,1
2024-05-23,Instagram,46151,8096,583.77,677,Instagram_campaign_5,157.97,3.33,0.63,0.0836215415019762,46151,8096,1
2024-05-24,Instagram,23403,9107,276.67,382,Instagram_campaign_3,125.88,3.18,0.42,0.041945756011859,23403,9107,2
2024-05-25,Instagram,19141,7783,695.85,17,Instagram_campaign_5,205.18,2.59,0.72,0.0021842477193884,19141,7783,2
2024-05-26,Instagram,15820,4742,752.91,131,Instagram_campaign_2,159.49,5.26,0.64,0.0276254744833403,15820,4742,0
2024-05-27,Instagram,41342,7779,276.32,357,Instagram_campaign_5,187.73,3.66,0.59,0.045892788276128,41342,7779,1
2024-05-28,Instagram,7374,8308,408.84,685,Instagram_campaign_3,228.94,6.21,0.68,0.0824506499759268,7374,8308,0
2024-05-29,Instagram,2678,7439,557.61,99,Instagram_campaign_1,180.59,2.44,0.65,0.0133082403548864,2678,7439,0
2024-05-30,Instagram,34827,9535,521.73,657,Instagram_campaign_4,188.36,6.51,0.22,0.0689040377556371,34827,9535,1
2024-05-31,Instagram,17198,2305,420.14,707,Instagram_campaign_1,182.4,5.23,0.44,0.3067245119305857,17198,2305,0
2024-06-01,Instagram,10914,1169,332.75,325,Instagram_campaign_5,132.27,1.8,0.76,0.2780153977758768,10914,1169,0
2024-06-02,Instagram,28890,3544,144.99,187,Instagram_campaign_1,121.11,3.9,0.28,0.052765237020316,28890,3544,2
2024-06-03,Instagram,23299,1160,100.81,549,Instagram_campaign_2,272.9,7.04,0.64,0.4732758620689655,23299,1160,2
2024-06-04,Instagram,44585,2427,960.61,741,Instagram_campaign_3,194.04,7.46,0.78,0.3053152039555006,44585,2427,1
2024-06-05,Instagram,44689,3520,854.79,878,Instagram_campaign_5,95.98,4.26,0.23,0.2494318181818181,44689,3520,1
2024-06-06,Instagram,43557,401,387.16,50,Instagram_campaign_4,164.53,4.37,0.61,0.1246882793017456,43557,401,1
2024-06-07,Instagram,45020,706,958.96,749,Instagram_campaign_3,119.19,7.43,0.48,1.0,45020,706,1
2024-06-08,Instagram,3693,3270,692.93,713,Instagram_campaign_5,282.1,5.11,0.55,0.2180428134556574,3693,3270,0
2024-06-09,Instagram,30467,799,508.39,932,Instagram_campaign_2,32.03,1.23,0.25,1.0,30467,799,2
2024-06-10,Instagram,30723,5188,518.37,511,Instagram_campaign_2,90.84,7.39,0.23,0.0984965304548959,30723,5188,2
2024-06-11,Instagram,47699,9431,129.12,968,Instagram_campaign_2,128.65,2.74,0.6,0.102640229031916,47699,9431,1
2024-06-12,Instagram,4627,290,137.12,154,Instagram_campaign_2,161.71,5.04,0.69,0.5310344827586206,4627,290,0
2024-06-13,Instagram,26939,1080,622.32,210,Instagram_campaign_5,259.72,2.16,0.67,0.1944444444444444,26939,1080,2
2024-06-14,Instagram,49925,3075,576.02,938,Instagram_campaign_3,53.73,1.24,0.53,0.3050406504065041,49925,3075,1
2024-06-15,Instagram,43941,6202,252.09,733,Instagram_campaign_1,247.58,3.18,0.26,0.118187681393099,43941,6202,1
2024-01-01,Google_Ads,38148,2781,889.99,536,Google_Ads_campaign_5,89.55,2.04,0.61,0.1927364257461344,38148,2781,1
2024-01-02,Google_Ads,29734,3729,620.76,162,Google_Ads_campaign_5,142.97,4.69,0.35,0.0434432823813354,29734,3729,2
2024-01-03,Google_Ads,5757,4325,908.54,743,Google_Ads_campaign_3,84.97,2.72,0.75,0.1717919075144508,5757,4325,0
2024-01-04,Google_Ads,20097,3167,989.73,215,Google_Ads_campaign_2,256.92,4.34,0.7,0.0678875907799179,20097,3167,2
2024-01-05,Google_Ads,11395,6041,756.19,464,Google_Ads_campaign_4,77.03,3.76,0.63,0.0768084754179771,11395,6041,0
2024-01-06,Google_Ads,17241,1486,111.74,282,Google_Ads_campaign_3,289.41,4.85,0.77,0.1897711978465679,17241,1486,0
2024-01-07,Google_Ads,39356,2966,431.5,903,Google_Ads_campaign_3,142.29,6.23,0.22,0.3044504383007417,39356,2966,1
2024-01-08,Google_Ads,28696,4888,845.93,245,Google_Ads_campaign_4,258.49,6.01,0.64,0.0501227495908346,28696,4888,2
2024-01-09,Google_Ads,5944,5590,269.04,861,Google_Ads_campaign_3,199.77,4.65,0.4,0.1540250447227191,5944,5590,0
2024-01-10,Google_Ads,47163,4224,839.11,749,Google_Ads_campaign_2,228.54,6.76,0.74,0.1773200757575757,47163,4224,1
2024-01-11,Google_Ads,20816,8440,164.32,530,Google_Ads_campaign_1,237.29,4.02,0.36,0.0627962085308056,20816,8440,2
2024-01-12,Google_Ads,38011,3950,94.6,687,Google_Ads_campaign_4,166.31,7.28,0.63,0.1739240506329114,38011,3950,1
2024-01-13,Google_Ads,25917,5515,414.89,953,Google_Ads_campaign_4,176.69,1.5,0.73,0.1728014505893019,25917,5515,2
2024-01-14,Google_Ads,32195,7779,84.9,965,Google_Ads_campaign_4,168.78,7.68,0.22,0.1240519346959763,32195,7779,2
2024-01-15,Google_Ads,22566,6919,959.41,840,Google_Ads_campaign_1,188.78,5.58,0.44,0.1214048272871802,22566,6919,2
2024-01-16,Google_Ads,10916,9428,834.9,735,Google_Ads_campaign_1,37.94,3.66,0.66,0.0779592702588035,10916,9428,0
2024-01-17,Google_Ads,21806,8478,810.73,510,Google_Ads_campaign_2,136.79,2.38,0.47,0.0601556970983722,21806,8478,2
2024-01-18,Google_Ads,10984,9542,648.29,126,Google_Ads_campaign_4,193.67,4.35,0.36,0.0132047788723538,10984,9542,0
2024-01-19,Google_Ads,2759,1433,255.51,395,Google_Ads_campaign_2,191.39,2.36,0.33,0.2756454989532449,2759,1433,0
2024-01-20,Google_Ads,42949,4250,542.35,353,Google_Ads_campaign_4,244.1,2.16,0.28,0.0830588235294117,42949,4250,1
2024-01-21,Google_Ads,27838,6866,617.41,593,Google_Ads_campaign_2,206.85,5.32,0.71,0.0863676085056801,27838,6866,2
2024-01-22,Google_Ads,3482,2811,548.78,404,Google_Ads_campaign_5,297.88,4.66,0.55,0.143721095695482,3482,2811,0
2024-01-23,Google_Ads,25442,4953,297.22,73,Google_Ads_campaign_1,106.64,5.69,0.25,0.0147385422975974,25442,4953,2
2024-01-24,Google_Ads,34719,6312,539.49,726,Google_Ads_campaign_4,126.97,7.51,0.43,0.1150190114068441,34719,6312,1
2024-01-25,Google_Ads,28965,7579,516.63,730,Google_Ads_campaign_4,133.64,4.73,0.42,0.0963187755640585,28965,7579,2
2024-01-26,Google_Ads,3079,5508,996.52,81,Google_Ads_campaign_1,155.77,5.07,0.31,0.0147058823529411,3079,5508,0
2024-01-27,Google_Ads,3717,7815,902.56,798,Google_Ads_campaign_1,255.72,1.63,0.46,0.1021113243761996,3717,7815,0
2024-01-28,Google_Ads,28952,9042,490.21,283,Google_Ads_campaign_1,93.66,6.02,0.4,0.0312983853129838,28952,9042,2
2024-01-29,Google_Ads,21908,1862,641.79,999,Google_Ads_campaign_1,239.52,3.8,0.41,0.5365198711063373,21908,1862,2
2024-01-30,Google_Ads,43460,7201,760.48,329,Google_Ads_campaign_4,139.43,7.84,0.64,0.0456880988751562,43460,7201,1
2024-01-31,Google_Ads,25861,7774,83.12,347,Google_Ads_campaign_1,192.5,6.76,0.33,0.0446359660406483,25861,7774,2
2024-02-01,Google_Ads,8311,6222,900.18,375,Google_Ads_campaign_2,200.79,4.66,0.59,0.0602700096432015,8311,6222,0
2024-02-02,Google_Ads,29071,581,867.12,504,Google_Ads_campaign_5,130.67,1.86,0.54,0.8674698795180723,29071,581,2
2024-02-03,Google_Ads,24570,253,484.56,616,Google_Ads_campaign_4,168.41,7.02,0.54,1.0,24570,253,2
2024-02-04,Google_Ads,19449,7717,421.61,175,Google_Ads_campaign_1,141.52,6.6,0.6,0.0226772061682,19449,7717,2
2024-02-05,Google_Ads,34536,1624,309.31,553,Google_Ads_campaign_5,48.67,2.29,0.53,0.3405172413793103,34536,1624,1
2024-02-06,Google_Ads,39258,2220,502.84,20,Google_Ads_campaign_1,148.03,3.07,0.73,0.009009009009009,39258,2220,1
2024-02-07,Google_Ads,49302,2443,92.16,310,Google_Ads_campaign_5,56.3,6.55,0.61,0.1268931641424478,49302,2443,1
2024-02-08,Google_Ads,29865,5236,859.58,738,Google_Ads_campaign_5,139.36,2.3,0.53,0.1409472880061115,29865,5236,2
2024-02-09,Google_Ads,7645,5860,83.65,810,Google_Ads_campaign_1,190.09,7.42,0.7,0.1382252559726962,7645,5860,0
2024-02-10,Google_Ads,39000,1340,362.6,111,Google_Ads_campaign_2,186.44,3.97,0.56,0.0828358208955223,39000,1340,1
2024-02-11,Google_Ads,27737,160,935.01,434,Google_Ads_campaign_5,208.91,1.61,0.37,1.0,27737,160,2
2024-02-12,Google_Ads,12485,9230,748.45,401,Google_Ads_campaign_2,55.72,6.71,0.32,0.0434452871072589,12485,9230,0
2024-02-13,Google_Ads,39565,1739,317.32,788,Google_Ads_campaign_3,206.07,3.61,0.29,0.4531339850488786,39565,1739,1
2024-02-14,Google_Ads,26522,6285,290.02,223,Google_Ads_campaign_5,114.28,4.69,0.74,0.0354813046937151,26522,6285,2
2024-02-15,Google_Ads,13342,8070,54.83,700,Google_Ads_campaign_1,137.74,1.79,0.63,0.0867410161090458,13342,8070,0
2024-02-16,Google_Ads,41806,1352,710.93,97,Google_Ads_campaign_2,261.66,1.02,0.76,0.0717455621301775,41806,1352,1
2024-02-17,Google_Ads,49770,4303,96.34,562,Google_Ads_campaign_1,32.44,5.47,0.56,0.1306065535672786,49770,4303,1
